Sl No.,Market,Type of fish,Price per KG,Size,Is fresh or dried,Fish Location,Transportation Charge,Sold Outside or Inside
1,Pishum Thong,Grass carp,270,Medium,Fresh,Mayang Imphal,250,Outside
2,Pishum Thong,Grass carp,280,Large,Fresh,Mayang Imphal,250,Outside
3,Pishum Thong,Grass carp,300,3kg above,Fresh,Mayang Imphal,250,Outside
4,Pishum Thong,Common carp,280,Large,Fresh,Mayang Imphal,250,Outside
5,Pishum Thong,Rohu,260,Small,Fresh,Mayang Imphal,250,Outside
6,Pishum Thong,Tunghanbi,180,Medium,Fresh,Mayang Imphal,250,Outside
7,Pishum Thong,Ngamu,450,Medium,Fresh,Mayang Imphal,250,Outside
8,Pishum Thong,Porong,400,Medium,Fresh,Mayang Imphal,250,Outside
9,Pishum Thong,Porong,350,Small,Fresh,Mayang Imphal,250,Outside
10,Pishum Thong,Ukabi,600,Medium,Fresh,Mayang Imphal,250,Outside
11,Pishum Thong,Ukabi,450,Small,Fresh,Mayang Imphal,250,Outside
12,Pishum Thong,Ngakra,1400,Large,Fresh,Mayang Imphal,250,Outside
13,Pishum Thong,Ngakra,1300,Small,Fresh,Mayang Imphal,250,Outside
14,Pishum Thong,Ngachik,700,Large,Fresh,Mayang Imphal,250,Outside
15,Pishum Thong,Ngachik,600,Medium,Fresh,Mayang Imphal,250,Outside
16,Pishum Thong,Ngachik,550,Small,Fresh,Mayang Imphal,250,Outside
17,Pishum Thong,Muka Nga,600,Medium,Fresh,Mayang Imphal,250,Outside
18,Pishum Thong,Ngasang,600,Medium,Fresh,Mayang Imphal,250,Outside
19,Pishum Thong,Pengba,600,Medium,Fresh,Mayang Imphal,250,Outside
20,Pishum Thong,Pengba,400,Small,Fresh,Mayang Imphal,250,Outside
21,Pishum Thong,Bao,600,Medium,Fresh,Mayang Imphal,250,Outside
22,Pishum Thong,Bao,300,Small,Fresh,Mayang Imphal,250,Outside
23,Pishum Thong,Khajing,550,Medium,Fresh,Mayang Imphal,250,Outside
24,Pishum Thong,Phabou nga,300,Medium,Fresh,Mayang Imphal,250,Outside
25,Pishum Thong,Khabak,600,Large,Fresh,Mayang Imphal,250,Outside
26,Pishum Thong,Ngaton,600,Large,Fresh,Mayang Imphal,250,Outside
27,Pishum Thong,Ngapemma,400,Medium,Fresh,Mayang Imphal,250,Outside
28,Pishum Thong,Silver carp,180,Medium,Fresh,Mayang Imphal,250,Outside
29,Pishum Thong,Sareng,320,Large,Fresh,Andra,300,Inside
30,Pishum Thong,Moreh Rohu,220,Large,Fresh,Moreh,100,Inside
31,Pishum Thong,Pengba Import,170,Large,Fresh,Moreh,100,Inside
32,Pishum Thong,Ngahei,170,Large,Fresh,Moreh,100,Inside
33,Pishum Thong,Mackeral,250,Medium,Frozen,West Bengal,200,Inside
34,Pishum Thong,Hilsa,1250,Large,Frozen,West Bengal,200,Inside
35,Pishum Thong,Nunga,300,Large,Fresh,Moreh,100,Inside
36,Pishum Thong,Tuna,250,Large,Frozen,West Bengal,200,Inside
37,Pishum Thong,Alisha,250,Small,Fresh,West Bengal,100,Inside
